Mobile Name,Price
"OnePlus Nord CE3 5G |12GB RAM, 256 GB Storage | Snapdragon™ 782G | 80W SUPERVOOC Charge | 17.02cm 120 Hz Fluid AMOLED + Dual Speakers","Rs. Rs. 38,499"
"CMF Phone 2 Pro (8/128GB) | 6.77"" Flexible AMOLED Display | MediaTek Dimensity 7300 Pro 5G | 5,000 mAh Battery | 33W charging","Rs. Rs. 34,999"
Samsung Galaxy A56 (8GB+256GB) Olive,"Rs. Rs. 65,999"
"OnePlus Nord CE4 Lite 5G | 8GB RAM, 256GB Storage | 5500mAh Battery Capacity | 80W SUPERVOOC Charging | Snapdragon 695 5G","Rs. Rs. 29,999"
M-horse M16 Promax 8/128 5000 Mah battry,"Rs. Rs. 12,250"
"Redmi 14C (4/128 GB) | 6.88"" Dot Drop Display | MediaTek Helio G81-Ultra processor | 5160mAh battery | 50MP AI dual camera","Rs. Rs. 13,999"
"Redmi A5 (4/128 GB) | 6.88"" Display | UNISOC T7250 | 5200mAh Battery | 15W Charging | 2 years warranty*","Rs. Rs. 11,999"
"Motorola Moto G05 (4/64GB) | 6.67"" HD+ Display | MediaTek Helio G81 Processor | 5200mAh Battery","Rs. Rs. 12,999"
"Redmi 14C (6/128 GB) | 6.88"" Dot Drop Display | MediaTek Helio G81-Ultra processor | 5160mAh battery | 50MP AI dual camera","Rs. Rs. 15,999"
"Redmi 14C (8/256 GB) | 6.88"" Dot Drop Display | MediaTek Helio G81-Ultra processor | 5160mAh battery | 50MP AI dual camera","Rs. Rs. 18,999"
"Redmi A5 (3/64 GB) | 6.88"" Display | UNISOC T7250 | 5200mAh Battery | 15W Charging | 2 years warranty*","Rs. Rs. 10,999"
"Redmi 13 (6/128) | 6.79"" FHD+ DotDisplay | MediaTek Helio G91-Ultra processor | 5030mAh (typ) Battery","Rs. Rs. 17,999"
"Tecno Spark Go 1 (8/128 GB) | 6.67""HD+ Dot-In Display | | Android 13 | 5000 mAh Battery | 15 W Fast Charge | Fingerprint (side-mounted)""","Rs. Rs. 13,260"
Mbo Mobile S24 Ultra + | 4-64 Memory | 5500 Mah Battery,"Rs. Rs. 9,949"
"Apple iPhone 13 (128GB) | 6.1"" A15 IOS Super Retina XDR OLED Display","Rs. Rs. 76,100"
"Redmi Note 14 5G (8/256GB)  | 6.67"" AMOLED Display | MediaTek Dimensity 7025-Ultra | 5110 mAh Battery | 45W turbo Charging","Rs. Rs. 30,999"
"Redmi Note 14 (8/256GB)  | 6.67"" AMOLED Display | Corning® Gorilla® Glass 5 | Helio G99-Ultra | 108MP main camera | 5500 mAh Battery | 33W Fast Charge","Rs. Rs. 27,999"
"Apple iPhone 15 | 6.1"" Super Retina XDR display | A16 Bionic Chipset | 48MP Main Camera with 2X Telephoto","Rs. Rs. 104,100"
"MMX X1i Flip keypad Phone with Dual SIM | Big 2.4"" Display | TypeC USB Port | Wireless FM | Auto Call Recording |","Rs. Rs. 3,000"
M-Horse A70 Plus,"Rs. Rs. 8,204"
Samsung Galaxy A06  6GB Ram & 128GB Storage | 50MP Camera | 5000mAh Battery | Helio G85 Processor With  25W Adapter,"Rs. Rs. 19,499"
Blackview N2000 FLIP 4G MOBILE PHONE | RED | BLUE | BLACK,"Rs. Rs. 5,499"
"OnePlus Nord CE4 Lite 5G | 8GB RAM, 256GB Storage | 5500mAh Battery Capacity | Snapdragon 695 5G","Rs. Rs. 29,999"
"Redmi Note 14 (6/128GB)  | 6.67"" AMOLED Display | Corning® Gorilla® Glass 5 | Helio G99-Ultra | 108MP main camera | 5500 mAh Battery | 33W Fast Charge","Rs. Rs. 24,999"
Infinix GT 20 Pro || 12/256 GB || MediaTek Dimensity 8200 5G,"Rs. Rs. 47,639"
Apple iPhone 16 Pro Max | 6.9 inch Super Retina XDR OLED Display | A18 chip | Pro Camera System,"Rs. Rs. 197,000"
M-HORSE Spark 20 Pro 8/128,"Rs. Rs. 11,999"
vivo Y04 | 5500 mAh Durable Battery  | Anti-Drop Design | IP64 Dust & Water Resistance,"Rs. Rs. 13,999"
M-HORSE HOT 30 Play 4/64 Ram Room 5000 mAh Battery,"Rs. Rs. 9,400"
"OnePlus Nord CE3 5G |12GB RAM, 256 GB Storage | Snapdragon™ 782G | 80W SUPERVOOC Charge | 17.02cm 120 Hz Fluid AMOLED + Dual Speakers","Rs. Rs. 38,499"
"Samsung Galaxy A16 5G (8GB/256GB) | 6.7"" SuperAMOLED 90Hz Display | Mediatek Dimensity 6300 | 5000mAh Battery","Rs. Rs. 34,999"
M 16 Pro Max 6/64,"Rs. Rs. 11,500"
"X-AGE LEAP Smartphone | 4GB/64GB | 13MP Rear Camera | 6.56"" IPS Display | UNISOC SC9863A | 5000mAh Battery","Rs. Rs. 10,990"
Mbo C63 Pro Max 4G Mobile Phone | 5500 Mah Battery,"Rs. Rs. 9,640"
M-Horse A70 Plus  4 Gb( 2+2)Ram 32 Gb Room 5000 Mah BATTRY,"Rs. Rs. 8,775"
"Apple iPhone 14 (128GB) 6.1"" Genuine Super Retina OLED Display","Rs. Rs. 89,300"
M-Horse Hot30 Play Plus+,"Rs. Rs. 9,300"
Infinix Hot 40i || Upto 256 GB || 5000 mAh Camera,"Rs. Rs. 17,390"
Apple iPhone 16 | 6.1 inch Super Retina XDR OLED Display | A18 chip | Advanced Dual-Camera System,"Rs. Rs. 130,200"
"OnePlus Nord CE 3 5G (12GB RAM, 256GB Storage)","Rs. Rs. 38,115"
"Samsung Galaxy A16 5G (8GB/128GB) | 6.7"" SuperAMOLED 90Hz Display | Mediatek Dimensity 6300 | 5000mAh Battery","Rs. Rs. 30,999"
"Redmi Note 14 Pro 5G (8/256GB) | 6.67"" AMOLED Display | MediaTek Dimensity 7300-Ultra Processor | 5110mAh Battery | 45W Turbo Charging","Rs. Rs. 39,999"
"Nothing Phone (2a) (8/128GB) | 6.7” Flexible AMOLED Dislpay | MediaTek Dimensity 7200 Pro | 5,000 mAh Battery | 45W Charge","Rs. Rs. 40,939"
Mhorse Note 50 4/64 5000 MaH Battry Side fingar print,"Rs. Rs. 9,367"
"Itel RS 4 (16*/256 GB) | G99 Ultimate Processor | 5000 mAh Battery | 45 W Power Charge | 6.56 "" Dot in Display | 100 Days Replacement Warranty","Rs. Rs. 19,990"
Tecno Spark GO 1 || 120Hz Refresh Rate || Dual Speakers,"Rs. Rs. 11,750"
Bontel V100 Mobile | 1800 Mah Big Battery | W Fm Unic Keypad Mobile,"Rs. Rs. 1,799"
Infinix Hot 50i || 48 MP Camera || 5000 mAh Battery,"Rs. Rs. 14,049"
Apple iPhone 16 Pro Max - EvoStore,"Rs. Rs. 207,000"
vivo V50 Lite 4G (8/256)|90 watt Flash Charge|6500 mAh BlueVolt Battery|,"Rs. Rs. 37,999"
"Spark 30C | 7.8 Ultra Slim Flagship Design | 4 Years plus Lasting Fluency | 18 W Fast Charger | 120 Hz 6.67"" Smooth Display | 50 HD Main Camera | Dual Speakers + DTS Listen | Infrared Remote Control | Powerful Octa-Core Processor","Rs. Rs. 16,490"
"Samsung Galaxy A16 5G (6GB+128GB) || Super AMOLED, 90Hz 6.7"" Display || Dust & Splash Resistant","Rs. Rs. 28,999"
"MOTOROLA Moto G85 5G (12/256 GB)| 6.67"" p-OLED Endless Edge Display| 144Hz refresh rate | Qualcomm SD 6s Gen 3 | 5000 mAh Battery | TurboPower™ 33W Charge","Rs. Rs. 37,499"
"Samsung Galaxy A06 (4GB/64GB) | 6.7"" HD+ Display ,PLS LCD, 60Hz refresh rate | Mediatek Helio G85  5 4G (12nm) Processor | 5000mAh Battery","Rs. Rs. 15,379"
"Samsung Galaxy A36 5G (8GB/128GB) | 6.7"" sAMOLED 120Hz Display | Snapdragon 6Gen 3 | 5000mAh Battery","Rs. Rs. 48,999"
Kivi k3 Keypad Mobile Phone | One Year Warranty | 1000 Mah Battery | Big Torch With Side Switch,Rs. Rs. 976
Blackview WAVE 8 4G (12GB*+128GB/256GB) | 6.56'' HD Display | 13MP+8MP Camera | 90Hz Refresh Rate | 5000mAh Battery,"Rs. Rs. 10,999"
"Samsung Galaxy A55 5G (8GB/256GB) | 6.6"" SuperAMOLED 120Hz Display | 50MP+12MP +5MP Rear Camera | 5000mAh Battery","Rs. Rs. 62,999"
"ZTE Blade A75 (4+256) | 5000 mAh battery | 50 MP AI Camera | 22.5 watt fast chargingBest Budget  Phone under 12500 with great storage in Nepal , Best phone for fast charging under 12500 in Nepal supports fast charging of 22.5 watt","Rs. Rs. 13,444"
"Infinix Hot 40i (8/128 GB) | 6.56"" Inch Display | UNISOC T606 Processor | 5000 mAh Charging | 18W Charger","Rs. Rs. 17,499"
"Samsung Galaxy A16 (6GB/128GB) | 6.7"" HD+ Display , SUPER AMOLED screen, 90Hz| MediaTek Dimensity 6300, 6nm Processor | 5000mAh Battery","Rs. Rs. 28,879"
"Tecno Spark Go-1 | 4 Years Fluency Protection | Infrared Remoted Control | Side fingerprint | 6.67"" HD+H | 120 Hz Refresh Rate | 5000mAh Battery | 15W with Type-C | Stereo Dual Speakers | Memory Fusion 2.2 | Dynamic Port","Rs. Rs. 12,690"
Tecno Spark 30c || 120Hz Display || 5000 mAh Battery,"Rs. Rs. 19,830"
Apple iPhone 15 Pro Max 512GB & Apple 20W USB-C Power Adapter || 1 +1 Year Extended Warranty & One-Time Screen Replacement Within First Year,"Rs. Rs. 222,999"
IPRO AMBER 8S-5inc display-2000mah battery-1GB RAM-8GB ROM,"Rs. Rs. 6,999"
Apple iPhone 16  Pro - EvoStore,"Rs. Rs. 168,700"
"Tecno Spark Go 1 (6/64 GB) | 6.67""HD+ Dot-In Display | | Android 13 | 5000 mAh Battery | 15 W Fast Charge | Fingerprint (side-mounted)","Rs. Rs. 11,839"
vivo Y19s | 90 Hz Dotch Display | Anti Drop Design | 5150mAh Battery | Dual Stereo Speaker,"Rs. Rs. 16,499"
Oppo A17k | 3GB RAM & 64GB ROM | 5000 mAh Battery | Side Mounted Finger Sensor,"Rs. Rs. 13,499"
OnePlus Nord 3 5G | 8GB RAM and 128GB ROM | 6.74 inch Fluid AMOLED 120 Hz Display | 80W SuperVOOC Charge,"Rs. Rs. 51,999"
a10s 2+2=4 gb ram 32 gb rom,"Rs. Rs. 8,400"
"Vivo Y19s (12(6+6), 8(4+4) /128 GB) l 5150mah Battery l 50 MP, f/1.8, (wide), 1/1.95"", 0.8µm, PDAF auxiliary camera & Front Camera 5 MP Camera (Punch hole cutout) l Android 14 with FuntouchOS 14","Rs. Rs. 16,899"
"CMF Phone 2 Pro (8/256GB) | 6.77"" Flexible AMOLED Display | MediaTek Dimensity 7300 Pro 5G | 5,000 mAh Battery | 33W charging","Rs. Rs. 39,499"
Apple iPhone 16 Plus - EvoStore,"Rs. Rs. 149,600"
HONOR X9c 5G (24*/256GB) | Drop-Resistant | Water-Resistant | Heat-Resistant | 6600mAh Silicon-carbon Battery,"Rs. Rs. 48,999"
"HONOR 90 5G | 12GB RAM , 512GB ROM | 5000MAh Battery with 66W fast Charging","Rs. Rs. 63,990"
HONOR X7c (16*/256GB) | 5-star Drop Resistance | Washable Water Resistance | 6000mAh ultra-large battery,"Rs. Rs. 24,999"
Vivo Y19s || 128 GB || 5500 mAh Battery,"Rs. Rs. 16,839"
OnePlus Nord 3 5G | 16GB RAM & 256GB ROM | 6.74 inch Fluid AMOLED 120Hz Display | 80W SuperVOOC Charge,"Rs. Rs. 57,999"
"Redmi Note 13 Pro+ 5G (8/256) | 6.67"" CrystalRes AMOLED Display | MediaTek Dimensity 7200-Ultra Processor | 5000mAh Battery | 120W HyperCharge","Rs. Rs. 47,999"
"OnePlus 13 5G | 16GB RAM, 512GB Storage | 6000mAh Battery Capacity | 50W wireless charging","Rs. Rs. 141,999"
M-Horse Hot 30 Play 3 Ram 64 Gb room,"Rs. Rs. 8,930"
Samsung Galaxy A56 (8GB+256GB) +25W Power Dock + K20 Buds + Mobile Cover + Tempered Glass 5 in 1 Basic Combo,"Rs. Rs. 68,599"
Apple iPhone 16 Pro Max  - Oliz Store,"Rs. Rs. 197,000"
Oneme Ferrari Keypad Flip Mobile Racing Car,"Rs. Rs. 2,699"
Benco V91 (8GB RAM/ 128GB ROM) | 6.56 in Display | 13 MP Triple Camra + 8 MP Front Camera | 5000 mAh Battery,"Rs. Rs. 15,399"
"Redmi Note 14 Pro+ 5G (12/512GB) | 6.67"" CrystalRes AMOLED Display | Snapdragon® 7s Gen 3 Processor | 200MP pro-grade AI camera system | 5110mAh Battery | 120W HyperCharge","Rs. Rs. 54,999"
"Samsung Galaxy A35 5G (8GB/256GB) | 6.6"" SuperAMOLED 120Hz Display | 50MP+8MP+5MP Rear Camera with OIS | 5000mAh Battery","Rs. Rs. 51,999"
MOTOROLA Moto G45 5G (8/128GB) | 6.5 inches Display | 120Hz Refresh Rate | Snapdragon 6s Gen 3 | 5000mAh Battery,"Rs. Rs. 24,999"
vivo V50 5G (12+256) | 50 MP ZEISS ALL Main Camera | IP 68 & 69 Dust and water Resistance | 6000 mAh BlueVolt Battery with 90W Flash Charge,"Rs. Rs. 67,999"
Vivo V27 5G (8/256GB) | Dimensity 7200 chipset | 50MP Camera | 66W Fast Charging,"Rs. Rs. 56,399"
vivo Y29 | 6500 mAh BlueVolt Battery | Anti-Drop Armor Design | Snapdragon 685 Processor | 120 Hz Smooth Display,"Rs. Rs. 24,999"
"Honor X9c Smart 5G | 12GB RAM, 256GB Storage | Ultra Tough Water-Resistant | 108MP Ultra Sensing Camera | 5800mAh Battery Capacity","Rs. Rs. 38,999"
"Samsung Galaxy S25 Ultra 5G AI Smartphone | 6.8"" Dymanic Amoled Display | SnapDragon 8 Gen 4 | 5000 mAh Battery","Rs. Rs. 184,999"
oneme Fm 1,"Rs. Rs. 2,449"
Samsung Galaxy A14 5G (6GB+128GB) With Samsung 25W Type-C Adapter and Transparent Clear Cover,"Rs. Rs. 24,999"
XMobile Flip Mobile With SOS / Wireless FM,"Rs. Rs. 1,799"
TAMBO T10,"Rs. Rs. 1,199"
"Redmi Note 14 Pro+ 5G (8/256GB) | 6.67"" CrystalRes AMOLED Display | Snapdragon® 7s Gen 3 Processor | 200MP pro-grade AI camera system | 5110mAh Battery | 120W HyperCharge","Rs. Rs. 49,999"
Benco S1 Pro || 8/256 || 33 Watt Fast Charging,"Rs. Rs. 17,399"
ZTE Nubia V70 Design (8+128) | 5000 mAh battery | 6.7 inch 120 Hz Display | 50 MP AI Camera,"Rs. Rs. 15,999"
Samsung Galaxy A06 4GB Ram & 128GB Storage | 50MP Camera | 5000mAh Battery | Helio G85 Processor With  25W Adapter,"Rs. Rs. 17,499"
M Horse Mobile Hot 30 Play 2 Gb 32 Gb,"Rs. Rs. 8,639"
"OnePlus Nord CE4 Lite 5G and 45W Adaptor | 8GB RAM, 256GB Storage | 5500mAh Battery Capacity | Snapdragon 695 5G","Rs. Rs. 30,598"
"Honor X5 Plus (4/64 GB), 50 MP Camera","Rs. Rs. 12,969"
"MOTOROLA Moto G85 5G (8/128 GB)| 6.67"" p-OLED Endless Edge Display| 144Hz refresh rate | Qualcomm SD 6s Gen 3 | 5000 mAh Battery | TurboPower™ 33W Charge","Rs. Rs. 34,499"
"Xiaomi 14T 5G (12/512GB) + Free Redmi Buds 6 lite | 6.67"" 1.5K AMOLED 144Hz Display | MediaTek Dimensity 8300-Ultra | 50MP Leica Main camera | 5000mAh Battery | 67W HyperCharge","Rs. Rs. 59,999"
Nothing Phone (3a) Pro (12/256 GB) | 6.77” flexible AMOLED Display | Qualcomm® Snapdragon™ 7s Gen 3 Processor | 5000 mAh Battery | 50 W Fast Charge,"Rs. Rs. 62,999"
Itel Power 120 | 2 inch Big Display | 2500 mAh Battery | Kingvoice,"Rs. Rs. 2,199"
"Blackview BV9300 Pro Rugged Smartphone (15,080mAh) (12GB+256GB) | BLACK | GREEN | ORANGE","Rs. Rs. 37,999"
"HONOR X8c | 16*GB RAM, 512GB Storage | AI Eraser | 108MP & 50MP Ultra-Clear Night Photography | Drop & Water Resistance","Rs. Rs. 33,999"
Infinix hot 30i | 50MP Camera | 90HZ 6.6'' Display | 5000mAh battery,"Rs. Rs. 13,999"
"HONOR 200 5G | 12GB RAM, 512 GB Storage | Triple 50MP Studio-level Portrait Camera | 5200mAh Silicon-carbon Battery | 100W Wired Honor Supercharge","Rs. Rs. 64,999"
"Samsung Galaxy A56 5G (12GB/256GB) | 6.7"" 120HZ sAMOLED Display | Exynos 1580| 5000mAh Battery","Rs. Rs. 70,999"
Kxd A07 12 Gb ram 128 Gb Ram (4+8/128),"Rs. Rs. 12,500"
"Samsung Galaxy A55 5G (8GB/256GB) | 6.6"" Super AMOLED 120Hz Display | Exynos 1480 | 5000mAh Battery","Rs. Rs. 62,999"
"OnePlus 13R 5G | 12GB RAM, 256GB Storage | 6000mAh Battery Capacity |Snapdragon 8 Gen 3 Processor | Aqua Touch","Rs. Rs. 76,999"
"infinix Hot 50i | 6.7"" Punch Hole Display | Helio G81 Processor | 48 MP Rear Camera | 5000 mAh Battery","Rs. Rs. 14,499"
Apple iPhone 16 Pro | 6.3 inch Super Retina XDR OLED Display | A18 chip | Pro Camera System,"Rs. Rs. 168,700"
Honor X6b || 6/128 GB || Mediatek Helio G85,"Rs. Rs. 16,849"
